"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20220131"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","43.2","202201","27","7,300","14","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","335-6","0335","0006","삼천리","59.85","202201","24","5,000","5","1994","영진2길 20","","직거래","-"
"강원도 강릉시 연곡면 영진리","12","0012","0000","영진부영2","59.987","202201","5","16,900","1","2005","영진3길 43","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","12","0012","0000","영진부영2","59.987","202201","23","16,000","2","2005","영진3길 43","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","380","0380","0000","영진부영3","84.9157","202201","15","36,000","8","2008","영진3길 15","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","380","0380","0000","영진부영3","84.9157","202201","20","28,500","7","2008","영진3길 15","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","381","0381","0000","영진코아루비치테라스","43.5566","202201","27","19,300","5","2019","홍질목길 12","","중개거래","강원 강릉시"
"강원도 강릉시 유천동","778","0778","0000","엘에이치선수촌8단지","74.88","202201","4","42,000","1","2018","선수촌로 113","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","503-2","0503","0002","강동2","59.64","202201","5","8,300","4","1991","강변로410번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","84.96","202201","26","39,700","12","2007","성덕로 328-15","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-9","0506","0009","대인3","59.685","202201","15","11,000","9","1993","강변로410번길 27","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","122.72","202201","4","40,700","13","2006","성덕로 316-22","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","157.34","202201","8","51,800","10","2006","성덕로 316-22","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","641","0641","0000","입암1주공","47.1","202201","6","13,000","5","1986","강변로 364","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","641","0641","0000","입암1주공","46.74","202201","27","14,800","5","1986","강변로 364","","중개거래","강원 강릉시"
