□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,
계약일자 : 20190301 ~ 20190331,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,
주소구분 : 도로명주소,,,,,,,,,,,,,,
시도 : 전체,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,
도로명 : 전체,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,157.22,201903,13,"31,100",2,2007,성덕로 328-15,,-,-
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.77,201903,30,"21,500",7,2007,성덕로 328-15,,-,-
강원도 강릉시 입암동,496-5,496,5,대목,39.72,201903,4,"6,500",3,1987,용지로 35,,-,-
강원도 강릉시 입암동,499-64,499,64,대목(A단지),49.86,201903,26,"6,000",2,1987,용지로 48,,-,-
강원도 강릉시 입암동,506-9,506,9,대인3,59.685,201903,12,"7,800",6,1993,강변로410번길 27,,-,-
강원도 강릉시 입암동,543-3,543,3,에버그린,59.85,201903,7,"9,500",4,2000,강변로440번길 30,,-,-
강원도 강릉시 입암동,543-3,543,3,에버그린,59.85,201903,7,"9,500",8,2000,강변로440번길 30,,-,-
강원도 강릉시 입암동,543-3,543,3,에버그린,59.85,201903,7,"9,500",10,2000,강변로440번길 30,,-,-
강원도 강릉시 입암동,543-3,543,3,에버그린,59.85,201903,12,"9,150",4,2000,강변로440번길 30,,-,-
강원도 강릉시 입암동,May-90,90,5,은하,39.85,201903,12,"5,600",2,2001,월대산로 47,,-,-
강원도 강릉시 입암동,210,210,0,이안강릉타운,84.7,201903,5,"21,600",15,2006,성덕로 316-22,,-,-
강원도 강릉시 입암동,210,210,0,이안강릉타운,122.72,201903,11,"26,800",5,2006,성덕로 316-22,,-,-
강원도 강릉시 입암동,641,641,0,입암1주공,47.01,201903,4,"6,650",5,1986,강변로 364,,-,-
강원도 강릉시 입암동,641,641,0,입암1주공,39.72,201903,7,"5,500",3,1986,강변로 364,,-,-
강원도 강릉시 입암동,641,641,0,입암1주공,46.74,201903,7,"6,700",4,1986,강변로 364,,-,-
강원도 강릉시 입암동,641,641,0,입암1주공,46.74,201903,20,"7,100",1,1986,강변로 364,,-,-
강원도 강릉시 입암동,641,641,0,입암1주공,39.72,201903,28,"5,800",2,1986,강변로 364,,-,-
강원도 강릉시 입암동,641,641,0,입암1주공,39.72,201903,28,"5,800",3,1986,강변로 364,,-,-
강원도 강릉시 입암동,49,49,0,입암2주공,46.68,201903,5,"6,900",3,1990,강변로 508,,-,-
강원도 강릉시 입암동,49,49,0,입암2주공,46.68,201903,6,"6,700",1,1990,강변로 508,,-,-
강원도 강릉시 입암동,685,685,0,입암4주공,59.8,201903,20,"10,500",5,1996,성덕포남로 89,,-,-
강원도 강릉시 입암동,685,685,0,입암5주공,49.97,201903,20,"10,000",10,1996,성덕포남로 89-17,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,49.62,201903,6,"8,800",12,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,59.99,201903,7,"9,500",8,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,59.99,201903,11,"11,000",6,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,49.62,201903,12,"8,800",4,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,59.99,201903,13,"10,000",11,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,59.99,201903,21,"10,000",15,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,59.99,201903,22,"10,500",12,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,59.99,201903,25,"10,300",11,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,59.99,201903,26,"9,200",5,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,709-1,709,1,입암6주공,49.62,201903,27,"8,100",15,1998,성덕포남로 39,,-,-
강원도 강릉시 입암동,440,440,0,입암현대,84.904,201903,1,"17,000",10,1998,용지로 19,,-,-
강원도 강릉시 입암동,440,440,0,입암현대,59.956,201903,14,"12,650",4,1998,용지로 19,,-,-
강원도 강릉시 입암동,440,440,0,입암현대,59.956,201903,19,"10,600",3,1998,용지로 19,,-,-
강원도 강릉시 입암동,440,440,0,입암현대,59.956,201903,23,"10,500",1,1998,용지로 19,,-,-
강원도 강릉시 입암동,440,440,0,입암현대,99.604,201903,26,"16,500",5,1998,용지로 19,,-,-
강원도 강릉시 입암동,506-5,506,5,태평양임대,39.348,201903,11,"6,000",6,1998,강변로410번길 31-5,,-,-
강원도 강릉시 저동,04-04,4,4,경포현대,59.785,201903,29,"13,000",5,1996,경포로463번안길 14,,-,-
강원도 강릉시 주문진읍 교항리,1256,1256,0,교항2주공,49.85,201903,1,"10,400",15,2000,연주로 241-7,,-,-
강원도 강릉시 주문진읍 교항리,1256,1256,0,교항2주공,49.85,201903,13,"9,300",12,2000,연주로 241-7,,-,-
강원도 강릉시 주문진읍 교항리,1256,1256,0,교항2주공,49.85,201903,18,"9,100",5,2000,연주로 241-7,,-,-
강원도 강릉시 주문진읍 교항리,1256,1256,0,교항2주공,49.85,201903,29,"9,550",5,2000,연주로 241-7,,-,-
강원도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,59.98,201903,18,"8,400",6,1999,보리골길 26,,-,-
강원도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,59.98,201903,19,"8,800",13,1999,보리골길 26,,-,-
강원도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,49.86,201903,27,"7,100",7,1999,보리골길 26,,-,-
강원도 강릉시 주문진읍 교항리,430-1,430,1,유성,49.89,201903,21,"5,300",1,1991,매맥이윗길 12-4,,-,-
강원도 강릉시 주문진읍 교항리,29-1,29,1,정우2,57.8,201903,6,"6,900",2,1993,연주로 291-6,,-,-
