,Title,Location,Scale,Date_start,Date_finish,Size_one,Size_two,Price_one,Price_two
108,서울대입구역 더하이브 센트럴,서울특별시 관악구 봉천동 37-83번지 일원,35세대,2022-04-04,2022-04-07,76.4655,83.8118,"63,600","72,900"
109,양산 사송지구 C-2BL 우미린,경상남도 양산시 사송지구 C-2BL,688세대,2022-04-04,2022-04-06,110.1225,144.0005,"39,100","51,930"
110,양산 한신더휴,경상남도 양산시 평산동 589-3일원,405세대,2022-04-04,2022-04-06,91.4698,109.0182,"33,351","42,365"
111,용인 경남아너스빌 디센트 H2BL(1단지),경기도 용인시 처인구 양지면 남곡리 147-19외 12필지(용인남곡2지구 H2BL),326세대,2022-04-04,2022-04-06,111.2375,112.6289,"44,300","44,900"
112,용인 경남아너스빌 디센트 H3BL(2단지),경기도 용인시 처인구 양지면 남곡리 147-15외 8필지(용인남곡2지구 H3BL),450세대,2022-04-04,2022-04-06,110.2158,111.6039,"44,200","44,700"
113,용인 경남아너스빌 디센트 H4BL(3단지),경기도 용인시 처인구 양지면 남곡리 147-21외 11필지(용인남곡2지구 H4BL),388세대,2022-04-04,2022-04-06,110.5836,111.9729,"44,500","45,100"
114,이천 백사지구 1BL 신안실크밸리,경기도 이천시 백사면 모전리 1-11외 33필지,880세대,2022-04-04,2022-04-06,92.6309,112.3086,"36,600","48,700"
115,작전역 베네하임 더윈,인천광역시 계양구 작전동 415,166세대,2022-04-04,2022-04-07,80.2709,111.385,"40,287","58,845"
116,주문진 삼부르네상스 오션포레,강원도 강릉시 주문진읍 교항리 244-7외 9필지,234세대,2022-04-04,2022-04-06,97.3542,112.139,"27,870","32,970"
117,한화 포레나 미아,서울특별시 강북구 솔샘로 265일대(미아동 705-1일원),424세대,2022-04-04,2022-04-07,55.7391,118.1867,"54,488","114,924"
118,화순3차 한국아델리움,전라남도 화순군 화순읍 교리 98번지일원,135세대,2022-04-04,2022-04-06,53.1421,102.2118,"20,700","39,500"
119,디엘본가평설악,경기도 가평군 설악면 신천리 산 45-27번지 일원,107세대,2022-04-06,2022-04-08,82.307,154.7894,"27,050","49,990"
120,부암2차 비스타동원 아트포레,부산광역시 부산진구 부암동 298-163번지 일원,440세대,2022-04-07,2022-04-12,81.9951,114.4864,"43,000","63,800"
121,제일풍경채 검단Ⅱ,인천광역시 서구 불로동 AB18BL,1734세대,2022-04-08,2022-04-12,97.8259,145.2484,"41,000","62,300"
